,pdx,pds,plx,pls,cbx,cbs,cpx,cps
0,-422.3615251228043,-46348.596822175925,-437.8416339727023,-79007.96766769262,-1036.6611575549155,-165131.58789933095,34.33731667845586,11898.33202715285
1,-318.3316280736964,-37429.870291830135,-392.03266805404894,-77532.07377709153,-802.2252629890431,-130333.5810202152,-48.87033376573777,-18658.508542168303
2,-279.49207737902907,-29067.994180813504,-258.1319063086163,-42861.962918964666,-664.9340479103223,-101597.46224684382,-21.13955478708482,-9673.309984357751
3,-239.84157146468237,-18025.394605982132,-175.14142532012295,-32343.82174076511,-453.78780563039186,-67700.55779946524,-87.4698022194811,-16783.60626360077
4,-257.37880875653605,-27036.627684192063,-259.06330167228793,-52693.386889946225,-531.7868294608913,-77812.43389832824,-83.8605318968223,-26816.671344082548
5,84.89751231952994,2939.380467700641,74.10038805117028,14130.154986038877,66.0685872865406,622.4132363188546,39.68880034699583,-1652.4791899883421
6,118.9886933376356,19859.153732839724,200.3475672665329,26607.677239736993,289.77815130026465,32550.91738422704,22.17873867807748,5054.556234496544
7,57.89603587190106,-9883.514005630786,48.67615939008124,2555.3932236949768,65.34156926864148,-9775.047674852161,27.60982726252695,-11218.709034812971
8,23.620841496446474,3844.041135432999,-122.91591216190352,-34287.79370954055,-14.241452119967562,-15018.598161167436,-10.01738973355154,3800.161037897684
9,89.16441178539196,-3260.2469608250685,-62.430723973140175,-12193.9302074226,154.0287938227982,18120.26970503296,-9.702368144053708,-17685.667511556596
10,-20.471951687142337,-14987.81441126106,-192.8703526273473,-44545.37291740446,51.15201378529969,-682.9302965000679,-78.44456380287534,74654.35135263887
11,128.71305265296348,49964.61266726891,-103.2368747082437,187.7215130606346,169.12791445589778,54885.72561398518,25.75656745608785,21161.023666298926
12,184.72072637982967,20788.97815790889,-66.53236679954807,-7010.123563480534,454.9562025229533,70140.40121623978,-10.098430201059927,-13894.574534761785
13,347.55237106757636,56741.445943802566,-110.7589054849791,-23416.15479448106,556.6365846748272,108122.28029001551,128.9909873917856,17543.122785271567
14,218.20928829032346,18071.93990809399,209.08143265174442,43210.86117260592,431.16876759988054,69916.1866150634,16.025364400728677,-15233.13833778623
15,57.69277962219127,-3623.176066072905,160.98657102690368,47545.74769032674,152.55245798647388,27302.923971135286,-15.994755008126447,4544.728131879558
16,364.00414663729975,40292.71190444555,477.9544330567801,94453.68811122881,750.7873625229684,119657.73613798193,14.931173331324487,-6921.0417699163445
17,203.1446909097691,37529.68770279351,223.98294215765486,77351.54578785834,483.87318789772473,108452.85689535487,-8.196306414814302,3825.7179926408717
18,89.11571401371941,4245.775212114764,99.0700217458093,48207.634072762696,233.80964079910405,53872.06002300585,8.623349919561463,17410.333455365937
